"household_questionnaire_id","homestead_dwelling_area","land_for_cultivation","land_for_aquaculture_ponds","perm_fallow_land","orchard_land","total_property","land_owned_women","landarea_women","who_owns_it","since_when_month","since_when_year","reason_transfer","woman_homestead","woman_perm_fallow_land","woman_aquaculture_ponds","woman_orchard","woman_land_cultivation","how_many_agricultural_plots","plot_size_pl1_bore_a","plot_size_pl2_bore_b","plot_size_pl3_bore_c","type_pump_pl1_bore_a","type_pump_pl2_bore_b","type_pump_pl3_bore_c","pump_fixed_pl1_bore_a","pump_fixed_pl2_bore_b","pump_fixed_pl3_bore_c","cropecon_plot_pl1_bore_a","cropecon_plot_pl2_bore_b","cropecon_plot_pl3_bore_c","five_years_back_totalland","mode_of_pay_lease","if_fixed_leaserate_per_katha","if_share_of_produce_prop1","if_share_of_produce_prop2","year","district","TreatmentControl","TC"
"T107609001",6,100,0,0,10,116,1,50,2,NA,2060,"",0,0,0,0,50,6,5,4,2,1,1,1,2,2,2,1,1,1,106,2,0,50,50,2019,"SAPTARI","Control",0
"T104201003",2,35,0,0,1,38,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,38,0,0,0,0,2019,"SAPTARI","Control",0
"T205104005",5,17,0,0,0,22,1,4,2,NA,2062,"",NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,22,NA,NA,NA,0,2019,"SAPTARI","Control",0
"C001401004",4,16,0,0,0,20,1,4,2,NA,2064,"LESS TAX",0,0,0,4,4,2,8,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,16,NA,NA,NA,0,2019,"SAPTARI","Control",0
"T210709001",0.5,35,0,0,2,37.5,1,25,4,NA,2062,"",NA,NA,NA,NA,25,7,6.19999980926514,3,NA,5,1,NA,1,1,NA,1,1,NA,37,0,0,0,0,2019,"SAPTARI","Treatment",1
"T100103003",3,80,3,0,6,92,1,50,2,NA,2040,"",NA,NA,NA,NA,50,12,40,40,NA,2,1,NA,2,2,NA,1,1,NA,80,0,0,0,0,2019,"SAPTARI","Control",0
"T203903003",1,20,0,0,10,31,1,31,2,1,20,"",1,0,0,10,20,2,20,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,31,NA,NA,NA,0,2019,"SAPTARI","Control",0
"T104201002",3,60,18,0,0,81,1,40,3,NA,2066,"HUSBAND'S DEATH",0.300000011920929,0,18,0,21.7000007629395,40,18,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,0,2019,"SAPTARI","Control",0
"C009406001",2,80,0,0,8,90,1,30,2,2,2065,"INCLUDE IN FAMILY PROPERTY",0,0,0,0,30,7,30,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,110,2,NA,50,50,2019,"SAPTARI","Control",0
"T110502003",0.5,9,0,0,0,9.5,1,9,2,NA,2068,"HUSBAND FOREIGN EMPLOY",0.5,0,0,0,9,3,5,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,9.5,2,NA,50,50,2019,"SAPTARI","Control",0
"T109901005",2.25,110,0,25,0,137.25,1,40,2,2,2064,"",0,0,0,0,40,4,30,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,137.25,2,NA,50,50,2019,"SAPTARI","Control",0
"T203908005",0.5,14,0,0,0,14.5,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,6,4,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,14.5,NA,NA,NA,0,2019,"SAPTARI","Control",0
"T104209001",4,33,1.5,0,1,39.5,1,22,2,3,2043,"INCLUDE IN FAMILY PROPERTY",0,0,1.5,0,20.5,22,3.5,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,38,2,NA,50,50,2019,"SAPTARI","Treatment",1
"T102009002",1,60,0,0,5,66,1,10,2,NA,2068,"DOWRY",NA,NA,0,1,9,16,20,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,66,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T107607004",2.5,44,10,0,4,60.5,1,22,5,NA,2050,"",0,0,10,0,12,8,30,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,60.5,2,0,0,0,2019,"SAPTARI","Control",0
"C009006003",2,100,0,20,30,152,1,40,2,NA,2026,"TO GET SUBSIDY",0,0,0,20,20,6,15,5,NA,1,1,NA,2,2,NA,1,1,NA,152,2,0,50,50,2019,"SAPTARI","Control",0
"T210703006",2,50,0,0,10,62,2,NA,NA,NA,NA,"",0,0,0,0,0,0,8,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,62,0,NA,NA,NA,2019,"SAPTARI","Control",0
"T107605005",0.5,25,0,0,0,25.5,1,25,2,NA,2071,"TO GET SUBSIDY",0,0,0,0,25,3,10,10,5,1,1,1,1,2,1,1,1,1,25,0,0,0,0,2019,"SAPTARI","Control",0
"T104305001",3,20,0,0,1,24,1,24,5,NA,2030,"",3,0,0,1,20,24,3,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,24,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T210706005",1,35,0,0,0,36,1,30,2,NA,2067,"",0,0,0,0,30,30,15,11,NA,1,1,NA,2,2,NA,1,1,NA,36,0,0,0,0,2019,"SAPTARI","Control",0
"T106604003",2,40,4,0,1,47,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,8,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,47,0,0,0,0,2019,"SAPTARI","Control",0
"T210102001",3,160,1,0,7,171,1,12,2,NA,2065,"",NA,NA,NA,NA,12,13,50,20,12,2,2,2,2,2,2,1,1,1,NA,2,0,50,50,2019,"SAPTARI","Control",0
"T108804002",1,46,0,0,3,50,1,13,2,NA,2064,"PAY LESS TAX",0,NA,NA,NA,12.5,10,13,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,50,2,0,50,50,2019,"SAPTARI","Control",0
"T108803001",1.5,50,0,0,2,53.5,1,13,6,NA,2050,"",NA,NA,NA,NA,13,6,20,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,63.5,2,NA,50,50,2019,"SAPTARI","Control",0
"T109203005",0.699999988079071,50,0,0,3,53.7000007629395,1,2,2,8,NA,"PAY LESS TAX",NA,NA,NA,NA,2,11,20,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,53.7000007629395,2,NA,50,50,2019,"SAPTARI","Control",0
"T200104003",1.5,5,0,0,0.5,7,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,5,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,7,2,NA,50,50,2019,"SAPTARI","Control",0
"T200101005",0.5,15,0,0,1,16.5,1,4,2,NA,2071,"PAY LESS TAX",NA,NA,NA,NA,4,6,7,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,11.5,2,NA,50,50,2019,"SAPTARI","Control",0
"T203308002",1.5,73,0,0,5.5,80,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,8,45,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,80,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T201105001",1,8,0,0,0,9,1,8,2,NA,2046,"PAY LESS TAX",8,NA,NA,NA,NA,NA,8,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,8,2,NA,50,50,2019,"SAPTARI","Control",0
"T102007003",1.5,15,0,0,2,18.5,1,1,2,NA,2065,"",1.5,NA,NA,NA,5,5,2,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,18.5,1,5050,50,50,2019,"SAPTARI","Control",0
"T109202002",4,80,12,0,4,100,1,40,2,NA,2055,"PAY LESS TAX",1,NA,NA,NA,NA,21,20,20,10,1,1,1,2,2,2,1,1,1,100,NA,5050,50,50,2019,"SAPTARI","Control",0
"T210407004",0.5,25,0,5,1,31.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,6,5,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,31.5,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T210405002",1,20,0,0,0,21,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,8,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,21,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"C001701002",1.5,40,55,0,1,97.5,1,22,2,NA,2047,"PAY LESS TAX",0,0,0,0,22,22,45,22,NA,3,1,NA,1,2,NA,1,1,NA,42.5,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T107104002",3,50,0,0,2,55,1,20,1,NA,2050,"HUSBAND'S DEATH",NA,NA,NA,NA,20,5,13,10,NA,3,1,NA,2,1,NA,1,1,NA,55,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T107104001",2.5,60,0,0,4,66.5,1,3,2,NA,2068,"DOWRY",NA,NA,NA,NA,3,5,35,12,3,3,3,1,2,2,2,1,1,1,66.5,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T203309001",12,140,15,30,25,222,1,8,2,NA,2038,"DOWRY",NA,NA,NA,NA,8,7,25,25,25,3,3,3,2,2,2,1,1,1,222,1,NA,50,50,2019,"SAPTARI","Control",0
"C008508001",1,30,0,0,3,34,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,14,2,NA,1,1,NA,2,2,NA,1,1,NA,34,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T204807001",1.5,40,0,5,2,48.5,1,48.5,5,NA,2070,"DEATH OF HER FATHER",1.5,5,0,2,40,10,6,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,48.5,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T210407003",2,50,0,0,12,64,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,8,40,3,NA,3,3,NA,2,2,NA,1,1,NA,64,2,NA,50,50,2019,"SAPTARI","Control",0
"T109202008",2,20,0,0,1,23,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,16,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,23,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"C008109001",3,300,40,0,3,346,1,200,5,NA,2046,"PAY LESS TAX",0,0,0,0,200,10,40,13,NA,1,3,NA,2,2,NA,1,1,NA,346,3,2000,50,50,2019,"SAPTARI","Control",0
"T109202010",0.5,60,0,0,1,61.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,8,6,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,61.5,2,NA,50,50,2019,"SAPTARI","Control",0
"T109203003",3.5,21,0,0,1,25.5,1,18,2,NA,2065,"PAY LESS TAX",NA,NA,NA,NA,18,4,18,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,25.5,2,NA,50,50,2019,"SAPTARI","Control",0
"T109202009",1.5,30,0,0,1,32.5,1,6,2,NA,2055,"FOR SUBSIDY",NA,NA,NA,NA,6,6,6,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,32.5,2,NA,50,50,2019,"SAPTARI","Control",0
"T203309003",3,120,0,4,19,146,1,8,2,NA,2060,"FOR SUBSIDY",NA,NA,NA,8,NA,8,60,20,NA,1,3,NA,2,2,NA,1,1,NA,146,2,NA,50,50,2019,"SAPTARI","Control",0
"C001705001",1.5,60,20,0,20,101.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,9,11,8,NA,3,3,NA,1,2,NA,1,1,NA,101.5,2,NA,50,50,2019,"SAPTARI","Control",0
"T103207003",3,60,0,0,0,63,1,30,2,NA,2065,"PAY LESS TAX",0,0,0,0,30,3,6,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,63,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T103209004",0.5,5,0,0,0,5.5,1,5.5,2,NA,2071,"PAY LESS TAX",0.5,0,0,0,5,2,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,5.5,2,NA,50,50,2019,"SAPTARI","Control",0
"T103207002",5,200,5,0,2,212,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,5,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,212,0,NA,NA,NA,2019,"SAPTARI","Control",0
"C001401001",2,21,0,8,1,32,1,17,5,0,25,"",0,0,0,0,17,1,14,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,32,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T100502006",0.5,15,0,2,0,17.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,15,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,0,0,0,0,2019,"SAPTARI","Control",0
"T100503001",5,30,0,0,0,35,1,5,2,NA,NA,"",5,0,0,0,0,7,16,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,35,0,0,0,0,2019,"SAPTARI","Control",0
"C009006001",2,100,0,20,30,152,1,60,5,NA,2040,"",2,20,0,30,8,3,45,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,152,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T100509003",1.5,30,5,5,1,42.5,1,5,2,10,2066,"",NA,5,NA,NA,NA,4,10,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"C009006002",1,45,4,0,0,50,1,18,5,NA,2061,"",0,0,0,0,18,3,6,6,3,1,3,3,2,2,2,1,1,1,50,0,0,0,0,2019,"SAPTARI","Control",0
"T210701007",0.25,20,0,1.5,2.5,24.25,1,3,2,6,2060,"",0,0,0,0,3,4,2,1,NA,1,1,NA,1,2,NA,1,1,NA,24.25,0,0,0,0,2019,"SAPTARI","Control",0
"C004703001",2,40,0,0,2,44,1,25,2,4,2050,"",0,0,0,2,25,6,25,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,44,0,0,0,0,2019,"SAPTARI","Control",0
"T100505004",1,60,0,2,2,65,1,11,2,NA,2061,"",0,0,0,0,11,1,18,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,80,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T107601002",5,80,0,10,0,95,1,80,2,NA,2055,"",NA,NA,NA,NA,80,15,20,15,NA,1,2,NA,2,2,NA,1,1,NA,95,0,0,0,0,2019,"SAPTARI","Control",0
"T200101001",2,63,0,0,5,70,1,50,7,NA,NA,"PAY LESS TAX",NA,NA,NA,NA,12,6,12,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,70,3,NA,50,50,2019,"SAPTARI","Control",0
"T210904002",1,20,0,1,0,22,2,0,0,0,0,"",NA,NA,NA,NA,NA,4,10,7,3,1,1,1,2,2,2,1,1,1,40,0,0,0,0,2019,"SAPTARI","Control",0
"T100505008",2,60,0,5,1,68,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,10,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,68,0,0,0,0,2019,"SAPTARI","Control",0
"T106604005",0.5,30,0,0,2,32.5,2,0,0,0,0,"",NA,NA,NA,NA,NA,4,15,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,32.5,0,0,0,0,2019,"SAPTARI","Control",0
"T100502005",2,30,30,0,5,67,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,10,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,37,2,0,50,50,2019,"SAPTARI","Control",0
"T100501007",2,20,0,0,1,23,1,20,2,NA,2050,"",NA,NA,NA,NA,20,3,10,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,23,0,0,0,0,2019,"SAPTARI","Control",0
"T203901008",2,24,0,0,71,97,1,10,2,2,2061,"PAY LESS TAX",0,0,10,0,10,3,2,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,97,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T104203004",1,60,0,0,0,61,1,9,2,2,2043,"",0,0,0,0,9,4,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,61,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T108803015",2,90,1,0,10,103,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,13,21,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,103,2,NA,50,50,2019,"SAPTARI","Control",0
"T200102004",2,70,0,3,0,75,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,9,10,7,NA,1,2,NA,2,2,NA,1,1,NA,75,2,NA,50,50,2019,"SAPTARI","Control",0
"T109201006",0.300000011920929,2,0,0,0,2.29999995231628,1,2,2,NA,2074,"PAY LESS TAX",NA,NA,NA,NA,2,1,2,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,3,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T211002001",2,5,0,0,0,7,1,2,2,NA,8,"",2,NA,0,NA,0,2,5,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,7,NA,NA,50,50,2019,"SAPTARI","Control",0
"T102007004",1,60,0,0,2.5,63.5,1,60,2,NA,2063,"",0,0,0,2.5,60,60,60,6,NA,2,1,NA,2,2,NA,1,1,NA,63.5,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T205104006",2,20,0,0,1,23,1,15,2,NA,2067,"",4,0,0,0,11,2,10,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,23,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T110510001",5,20,0,20,0,45,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,20,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,45,0,0,0,0,2019,"SAPTARI","Control",0
"T203907006",1,20,0,0,7,28,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,10,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,28,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T110502004",2.5,30,0,0,2,34.5,1,8,2,NA,2065,"",0,0,0,0,8,7,12,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,34.5,2,NA,50,50,2019,"SAPTARI","Control",0
"T203908009",1.5,12,0,12,2.5,28,1,10,2,NA,2073,"PAY LESS TAX",0,0,0,0,10,4,6,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,28,2,0,50,50,2019,"SAPTARI","Control",0
"C001410002",1,30,0,0,0,31,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,10,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,31,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T108808014",1.5,18,0,0,25,44.5,1,40.2999992370605,2,NA,2068,"PAY LESS TAX",0,0,0,25,18,2,18,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,43,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T109201007",1,12,0,10,5,28,1,1,2,NA,2056,"PAY LESS TAX",1,0,0,0,0,3,10,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,52,2,4500,NA,NA,2019,"SAPTARI","Control",0
"T109908003",0.5,10,0,0,0,10.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,2,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,10.5,0,0,0,0,2019,"SAPTARI","Control",0
"T203900307",1,24,0,0,2,27,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,12,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,27,0,NA,NA,NA,2019,"SAPTARI","Control",0
"T110503003",2,15,0,0,2,19,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,4,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,19,2,6,50,50,2019,"SAPTARI","Control",0
"T206702001",2,80,16,0,8,106,1,8,2,NA,2070,"PAY LESS TAX",2,0,0,0,6,10,8,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,106,2,0,50,50,2019,"SAPTARI","Control",0
"T110507002",1,30,0,0,15,46,1,0.5,2,NA,2075,"PAY LESS TAX",0.5,0,0,0,0,4,5,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,25,2,NA,50,50,2019,"SAPTARI","Control",0
"T109903002",2,100,0,0,4,106,1,25,2,NA,2049,"",0,0,0,0,25,7,15,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,130,NA,NA,NA,NA,2019,"SAPTARI","Control",0
"T106006002",4,300,0,0,10,314,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,30,15,NA,2,2,NA,2,2,NA,1,1,NA,NA,2,0,50,50,2019,"SAPTARI","Control",0
"A104507035",2,36,0,0,3,41,1,5,2,NA,2071,"DOWRY",NA,NA,NA,NA,5,3,19,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,41,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"E104705010",1.5,50,0,0,0,51.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,30,NA,NA,5,NA,NA,2,NA,NA,1,NA,NA,51.5,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"A110402001",1,40,3,0,20,64,1,4,2,NA,2074,"",0,0,0,0,4,4,4,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T210709003",1.5,80,9,0,40,130.5,1,12,2,NA,2062,"REDUCE PROPERTY DIVISION",0,0,0,0,12,7,60,15,5,5,1,1,1,2,2,1,1,1,130.5,2,NA,50,50,2019,"SAPTARI","Treatment",1
"T210408001",1.5,20,19,0,4,44.5,1,20,2,NA,2058,"PAY LESS TAX",NA,NA,NA,NA,20,3,4.5,14,NA,5,1,NA,1,2,NA,1,1,NA,44.5,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T109205004",5,60,40,0,10,115,1,60,5,NA,2055,"PAY LESS TAX",NA,NA,NA,NA,60,4,45,45,NA,5,3,NA,1,2,NA,1,1,NA,115,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T102007001",0.5,340,0,0,6,346.5,1,80,2,NA,2050,"PREVENT PROPERTY DIVISION",0,0,0,0,80,15,17,15,12,5,1,3,1,1,2,1,1,1,346.5,2,NA,50,50,2019,"SAPTARI","Treatment",1
"T210708002",2,60,8,0,0,70,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,7,10,10,NA,5,1,NA,1,1,NA,1,1,NA,70,2,NA,50,50,2019,"SAPTARI","Treatment",1
"T210101002",2,113,18,0,3,136,1,40,2,NA,2070,"",0,0,0,0,40,12,78,23,NA,5,2,NA,1,2,NA,1,1,NA,123,0,0,0,0,2019,"SAPTARI","Treatment",1
"T203908001",1,20,0,4,1,26,1,10,2,NA,2050,"",0,0,0,0,10,NA,9,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,26,2,0,50,50,2019,"SAPTARI","Treatment",1
"T203901002",6,280,2.5,0,140,428.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,60,20,NA,5,1,NA,1,1,NA,1,1,NA,428.5,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T103204001",2.5,60,1.5,0,3,67,NA,20,2,NA,2060,"PAY LESS TAX",0,0,0,0,20,7,22,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,67,1,NA,50,50,2019,"SAPTARI","Treatment",1
"T109902001",2,16,0,0,5,23,1,12,2,NA,2068,"PAY LESS TAX",0,0,0,1,11,5,8,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,23,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T200103002",4,24,53,0,0,81,1,1.60000002384186,4,NA,2064,"",1.60000002384186,0,0,0,0,6,24,18,12,1,1,1,2,2,2,1,1,1,81,2,5050,50,50,2019,"SAPTARI","Treatment",1
"T210904001",5,160,7,0,15,187,1,20,2,0,2060,"",0,0,0,0,20,6,50,25,20,5,2,1,1,2,2,1,1,1,187,2,0,50,50,2019,"SAPTARI","Treatment",1
"T110505001",2,40,6,6,40,94,1,30,2,NA,2055,"",0,10,6,0,14,5,8,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,94,NA,NA,NA,NA,2019,"SAPTARI","Treatment",1
"T109203001",1.5,40,5,0,3,49.5,1,0.600000023841858,2,NA,2073,"PAY LESS TAX",0,0,0,5,0,7,14,14,NA,5,1,NA,1,1,NA,1,1,NA,31.5,2,NA,50,50,2019,"SAPTARI","Treatment",1
"T205105003",6,80,0,40,40,166,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,40,40,NA,5,1,NA,1,1,NA,1,1,NA,NA,1,1100,NA,NA,2019,"SAPTARI","Treatment",1
"T106605002",1,25,1,0,1,28,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,2.04999995231628,2,NA,5,2,NA,1,2,NA,1,1,NA,NA,0,0,0,0,2019,"SAPTARI","Treatment",1
"T106604004",2,30,0,0,0,32,1,32,2,NA,2060,"",2,0,0,0,30,1,25,0,0,1,0,0,2,1,2,1,1,1,32,0,0,0,0,2019,"SAPTARI","Control",0
